method,pseudopotential,system,basis,IP,IPerr,SHCIIP
PBE+RPA,trail,Ti,vtz,0.2680549999999897,0.0,0.2503899999999959
PBE+RPA,trail,V,vtz,0.24809099999998807,0.0,0.24943000000000382
PBE+RPA,trail,Cr,vtz,0.26632800000000145,0.0,0.24793999999998562
PBE+RPA,trail,Mn,vtz,0.281620999999987,0.0,0.2715199999999953
PBE+RPA,trail,Fe,vtz,0.28741999999999734,0.0,0.28863000000001193
PBE+RPA,trail,Cu,vtz,0.29707400000000916,0.0,0.2815999999999974
DMRG,trail,Sc,vdz,0.24000299999999442,0.0,0.24002000000000123
DMRG,trail,Sc,vtz,0.24090799999999746,0.0,0.2408099999999962
DMRG,trail,Ti,vdz,0.2490059999999943,0.0,0.24903000000000475
DMRG,trail,Ti,vtz,0.25019100000000094,0.0,0.2503899999999959
DMRG,trail,V,vdz,0.24919800000000691,0.0,0.24926999999999566
DMRG,trail,V,vtz,0.24916600000000244,0.0,0.24943000000000382
DMRG,trail,Cr,vdz,0.23963700000000188,0.0,0.23962000000000216
DMRG,trail,Cr,vtz,0.24778100000000336,0.0,0.24793999999998562
DMRG,trail,Mn,vdz,0.2689089999999936,0.0,0.26890000000000214
DMRG,trail,Mn,vtz,0.27203199999999583,0.0,0.2715199999999953
DMRG,trail,Fe,vdz,0.2846530000000058,0.0,0.2845800000000054
DMRG,trail,Fe,vtz,0.2887010000000032,0.0,0.28863000000001193
DMRG,trail,Cu,vdz,0.2701359999999795,0.0,0.26966999999999075
DMRG,trail,Cu,vtz,0.2819405000000188,0.0,0.2815999999999974
MRLCC,trail,Cr,vdz,0.23501583099999834,0.0,0.23962000000000216
MRLCC,trail,Cu,vdz,0.2687435690000086,0.0,0.26966999999999075
MRLCC,trail,Fe,vdz,0.2765682880000071,0.0,0.2845800000000054
MRLCC,trail,Mn,vdz,0.2643378220000159,0.0,0.26890000000000214
MRLCC,trail,Sc,vdz,0.24064066300000775,0.0,0.24002000000000123
MRLCC,trail,Ti,vdz,0.2510112649999954,0.0,0.24903000000000475
MRLCC,trail,V,vdz,0.2526367520000008,0.0,0.24926999999999566
MRLCC,trail,Cr,vtz,0.24629654800000367,0.0,0.24793999999998562
MRLCC,trail,Cu,vtz,0.2603508920000195,0.0,0.2815999999999974
MRLCC,trail,Fe,vtz,0.28011832500000367,0.0,0.28863000000001193
MRLCC,trail,Mn,vtz,0.26465414899999473,0.0,0.2715199999999953
MRLCC,trail,Sc,vtz,0.24133822699999286,0.0,0.2408099999999962
MRLCC,trail,Ti,vtz,0.25123677300000224,0.0,0.2503899999999959
MRLCC,trail,V,vtz,0.25195712699999717,0.0,0.24943000000000382
